"name","test","communication","teamwork","leadership","communication2","teamwork2","leadership2","communication3","teamwork3","leadership3"
"Tran, Anthony","post_training",4.66666666666667,4.5,4,"yes","yes","yes","medium","medium","medium"
"Manheimer, Nicole","post_training",4.66666666666667,5.5,4.5,"yes","yes","yes","medium","high","medium"
"Allen, Renee","post_training",5.33333333333333,5,5,"yes","yes","yes","high","high","high"
"Mitchell, Derek","post_training",4,4.5,3.5,"yes","yes","yes","medium","medium","medium"
"Larned, Alexander","post_training",5.33333333333333,5.5,4.5,"yes","yes","yes","high","high","medium"
"Douglas, Loreel","post_training",5,3,4,"yes","no","yes","high","medium","medium"
"Muro II, Jorge","pre_training",3.66666666666667,4,3.5,"yes","yes","yes","medium","medium","medium"
"Mayfield, Dessa","pre_training",5,3.5,5,"yes","yes","yes","high","medium","high"
"al-Saadeh, Mahaa","pre_training",2.33333333333333,1,1,"no","no","no","medium","low","low"
"Molina, Devon","pre_training",2.66666666666667,3,3,"no","no","no","medium","medium","medium"
"Fender, Marianne","pre_training",4,3.5,3,"yes","yes","no","medium","medium","medium"
"Acker, Irell","pre_training",3.66666666666667,4,4,"yes","yes","yes","medium","medium","medium"
"Cabrera, Merari","pre_training",3,2.5,1.5,"no","no","no","medium","medium","low"
"Halle, Miriam","pre_training",4.33333333333333,3.5,2,"yes","yes","no","medium","medium","low"
"el-Selim, Tawheeda","pre_training",4,4.5,4,"yes","yes","yes","medium","medium","medium"
"Miera, Candace","pre_training",3.66666666666667,3.5,4,"yes","yes","yes","medium","medium","medium"
"Cruz, Cindy","pre_training",4,4.5,3.5,"yes","yes","yes","medium","medium","medium"
"Cruz, Cindy","post_training",4.66666666666667,5,4.5,"yes","yes","yes","medium","high","medium"
"Halle, Miriam","post_training",5.33333333333333,4.5,4,"yes","yes","yes","high","medium","medium"
"el-Selim, Tawheeda","post_training",5.66666666666667,4.5,5,"yes","yes","yes","high","medium","high"
"Fender, Marianne","post_training",4,3.5,4,"yes","yes","yes","medium","medium","medium"
"Muro II, Jorge","post_training",4.33333333333333,4.5,4,"yes","yes","yes","medium","medium","medium"
"Molina, Devon","post_training",4.33333333333333,4.5,4,"yes","yes","yes","medium","medium","medium"
"al-Saadeh, Mahaa","post_training",3.66666666666667,3,3,"yes","no","no","medium","medium","medium"
"Mayfield, Dessa","post_training",5,5,5,"yes","yes","yes","high","high","high"
"Cabrera, Merari","post_training",3.66666666666667,3.5,3.5,"yes","yes","yes","medium","medium","medium"
"Acker, Irell","post_training",5,5,5,"yes","yes","yes","high","high","high"
"Miera, Candace","post_training",4,4.5,5,"yes","yes","yes","medium","medium","high"
"Hall, Elise","pre_training",2.66666666666667,4.5,3.5,"no","yes","yes","medium","medium","medium"
"King, Ashley","pre_training",3.66666666666667,3.5,3.5,"yes","yes","yes","medium","medium","medium"
"Schmidtke, Cammille","pre_training",2.33333333333333,2,1,"no","no","no","medium","low","low"
"el-Husain, Shabeeba","pre_training",2,2.5,2.5,"no","no","no","low","medium","medium"
"Watchman, D'Ahnya","pre_training",3.33333333333333,4,3,"no","yes","no","medium","medium","medium"
"Hu, Kekoaikaikaokalani","pre_training",3.66666666666667,4,4.5,"yes","yes","yes","medium","medium","medium"
"Bradford, David","pre_training",3.66666666666667,3.5,3.5,"yes","yes","yes","medium","medium","medium"
"Hall, Elise","post_training",5,5.5,6,"yes","yes","yes","high","high","high"
"King, Ashley","post_training",4.33333333333333,4.5,5,"yes","yes","yes","medium","medium","high"
"Hu, Kekoaikaikaokalani","post_training",4.33333333333333,4,4.5,"yes","yes","yes","medium","medium","medium"
"Bradford, David","post_training",5.33333333333333,5,5,"yes","yes","yes","high","high","high"
"Watchman, D'Ahnya","post_training",3.66666666666667,5,5,"yes","yes","yes","medium","high","high"
"el-Husain, Shabeeba","post_training",3.66666666666667,3.5,3.5,"yes","yes","yes","medium","medium","medium"
"Schmidtke, Cammille","post_training",3.66666666666667,3.5,3.5,"yes","yes","yes","medium","medium","medium"
"Lujan, Jorge","pre_training",3,2.5,2.5,"no","no","no","medium","medium","medium"
"Maez, Stephanie","pre_training",3,4,1,"no","yes","no","medium","medium","low"
"al-Mohammed, Murshid","pre_training",1.66666666666667,2,2,"no","no","no","low","low","low"
"Kuebler, Jonathan","pre_training",2.66666666666667,2,2,"no","no","no","medium","low","low"
"Guevara, Kevin","pre_training",4.66666666666667,3.5,4.5,"yes","yes","yes","medium","medium","medium"
"Wilson, Desiree","pre_training",2,3,3,"no","no","no","low","medium","medium"
"Gonzalez, Orlando","pre_training",3.66666666666667,3.5,4.5,"yes","yes","yes","medium","medium","medium"
"Cawthon, Timothy","pre_training",3,2,3,"no","no","no","medium","low","medium"
"el-Abdi, Wajeeha","pre_training",2,3.5,2,"no","yes","no","low","medium","low"
"Kuebler, Jonathan","post_training",4,5,4,"yes","yes","yes","medium","high","medium"
"Wilson, Desiree","post_training",3.66666666666667,4.5,3.5,"yes","yes","yes","medium","medium","medium"
"Gonzalez, Orlando","post_training",4.33333333333333,4,4.5,"yes","yes","yes","medium","medium","medium"
"Maez, Stephanie","post_training",3.66666666666667,3.5,3,"yes","yes","no","medium","medium","medium"
"Cawthon, Timothy","post_training",4.66666666666667,5,4.5,"yes","yes","yes","medium","high","medium"
"Lujan, Jorge","post_training",4.66666666666667,4.5,4.5,"yes","yes","yes","medium","medium","medium"
"Guevara, Kevin","post_training",5.66666666666667,4.5,4.5,"yes","yes","yes","high","medium","medium"
"al-Mohammed, Murshid","post_training",5.33333333333333,5,5.5,"yes","yes","yes","high","high","high"
"el-Abdi, Wajeeha","post_training",4.33333333333333,4,3.5,"yes","yes","yes","medium","medium","medium"
